Nom de film,URL de Dbpedia,URL de Wikipedia
"['Les Garçons et Guillaume, à table !']","http://dbpedia.org/resource/Me,_Myself_and_Mum",<http://www.wikidata.org/entity/Q13380366>
['Agon'],http://dbpedia.org/resource/Agon_(film),<http://www.wikidata.org/entity/Q14627237>
['Heimat'],http://dbpedia.org/resource/Home_from_Home_(2013_film),<http://www.wikidata.org/entity/Q14759456>
['Suite française'],http://dbpedia.org/resource/Suite_Française_(film),<http://www.wikidata.org/entity/Q13722122>
['Expendables 3 : Unité spéciale'],http://dbpedia.org/resource/The_Expendables_3,<http://www.wikidata.org/entity/Q14370516>
"[""Chez nous c'est trois !""]",vide,<http://www.wikidata.org/entity/Q14901499>
['Pioneer'],http://dbpedia.org/resource/Pioneer_(film),<http://www.wikidata.org/entity/Q14552558>
['Salvo'],http://dbpedia.org/resource/Salvo_(film),<http://www.wikidata.org/entity/Q13553892>
['Eyjafjallajökull'],http://dbpedia.org/resource/Eyjafjallajökull_(film),<http://www.wikidata.org/entity/Q14638068>
['Brick Mansions'],http://dbpedia.org/resource/Brick_Mansions,<http://www.wikidata.org/entity/Q13435412>
['Ton absence'],http://dbpedia.org/resource/Those_Happy_Years,<http://www.wikidata.org/entity/Q14453450>
['La Bataille de Solférino'],http://dbpedia.org/resource/Age_of_Panic,<http://www.wikidata.org/entity/Q14901494>
['Arrête ou je continue'],"http://dbpedia.org/resource/If_You_Don't,_I_Will",<http://www.wikidata.org/entity/Q13409586>
['Eastern Boys'],http://dbpedia.org/resource/Eastern_Boys,<http://www.wikidata.org/entity/Q14895327>
['My Sweet Pepper Land'],http://dbpedia.org/resource/My_Sweet_Pepper_Land,<http://www.wikidata.org/entity/Q12902828>
"[""L'Image manquante""]",http://dbpedia.org/resource/The_Missing_Picture,<http://www.wikidata.org/entity/Q13370821>
"[""Les Rencontres d'après minuit""]",http://dbpedia.org/resource/You_and_the_Night,<http://www.wikidata.org/entity/Q13553893>
"['Tirez la langue, mademoiselle']",vide,<http://www.wikidata.org/entity/Q14830727>
['Un week-end à Paris'],http://dbpedia.org/resource/Le_Week-End,<http://www.wikidata.org/entity/Q14942817>
['Every Thing Will Be Fine'],http://dbpedia.org/resource/Every_Thing_Will_Be_Fine,<http://www.wikidata.org/entity/Q14634026>
['La Fille du 14 juillet'],http://dbpedia.org/resource/The_Rendez-Vous_of_Déjà-Vu,<http://www.wikidata.org/entity/Q13553877>
['Amour et Turbulences'],http://dbpedia.org/resource/Love_Is_in_the_Air_(2013_film),<http://www.wikidata.org/entity/Q14901482>
['Sacro GRA'],http://dbpedia.org/resource/Sacro_GRA,<http://www.wikidata.org/entity/Q14853564>
['Q4540370'],http://dbpedia.org/resource/&Me,<http://www.wikidata.org/entity/Q4540370>
['Syngué sabour. Pierre de patience'],http://dbpedia.org/resource/The_Patience_Stone_(film),<http://www.wikidata.org/entity/Q5604823>
['La danza de la realidad'],http://dbpedia.org/resource/The_Dance_of_Reality,<http://www.wikidata.org/entity/Q7728823>
['Rock the Casbah'],http://dbpedia.org/resource/Rock_the_Casbah_(2012_film),<http://www.wikidata.org/entity/Q5162235>
['Jappeloup'],http://dbpedia.org/resource/Jappeloup,<http://www.wikidata.org/entity/Q12013827>
['Michael Kohlhaas'],http://dbpedia.org/resource/Age_of_Uprising:_The_Legend_of_Michael_Kohlhaas,<http://www.wikidata.org/entity/Q11648545>
['Grand Central'],http://dbpedia.org/resource/Grand_Central_(film),<http://www.wikidata.org/entity/Q12137383>
['Bird People'],http://dbpedia.org/resource/Bird_People_(film),<http://www.wikidata.org/entity/Q12141709>
['Les Chiens errants'],http://dbpedia.org/resource/Stray_Dogs_(2013_film),<http://www.wikidata.org/entity/Q12144835>
['Demi-sœur'],http://dbpedia.org/resource/Demi-soeur,<http://www.wikidata.org/entity/Q12150878>
['Piste noire'],vide,<http://www.wikidata.org/entity/Q12151343>
['Piégé'],vide,<http://www.wikidata.org/entity/Q12151344>
['La Cage dorée'],http://dbpedia.org/resource/The_Gilded_Cage_(2013_film),<http://www.wikidata.org/entity/Q11682483>
['Orage'],vide,<http://www.wikidata.org/entity/Q16028761>
['Djeca'],http://dbpedia.org/resource/Children_of_Sarajevo,<http://www.wikidata.org/entity/Q5098492>
['Une promesse'],http://dbpedia.org/resource/A_Promise_(2013_film),<http://www.wikidata.org/entity/Q7633179>
['La Maison de la radio'],vide,<http://www.wikidata.org/entity/Q16028667>
['Haunter'],http://dbpedia.org/resource/Haunter_(film),<http://www.wikidata.org/entity/Q12124716>
"[""La Vie d'Adèle""]",http://dbpedia.org/resource/Blue_Is_the_Warmest_Colour,<http://www.wikidata.org/entity/Q11648811>
['Pitchipoï'],vide,<http://www.wikidata.org/entity/Q11703241>
['Miss Julie'],http://dbpedia.org/resource/Miss_Julie_(2014_film),<http://www.wikidata.org/entity/Q12126204>
['Une chanson pour ma mère'],vide,<http://www.wikidata.org/entity/Q12152799>
['Layla Fourie'],http://dbpedia.org/resource/Layla_Fourie,<http://www.wikidata.org/entity/Q3815150>
['Adieu au langage'],http://dbpedia.org/resource/Goodbye_to_Language,<http://www.wikidata.org/entity/Q4682732>
['Ana Arabia'],http://dbpedia.org/resource/Ana_Arabia,<http://www.wikidata.org/entity/Q16010685>
['Yves Saint Laurent'],http://dbpedia.org/resource/Yves_Saint_Laurent_(film),<http://www.wikidata.org/entity/Q14948617>
"['Já, Olga Hepnarová']","http://dbpedia.org/resource/I,_Olga_Hepnarová",<http://www.wikidata.org/entity/Q10855725>
"[""Je m'en sortirai""]",http://dbpedia.org/resource/The_Way_Out_(2014_film),<http://www.wikidata.org/entity/Q10856966>
